via,numero_de_la_via,via,cruce_1,via,cruce_2,direccion_completa,precio,zona,kilometros
Calle,21,Avenida,54,Avenida,56,Calle 21 entre Avenida 54 y Avenida 56,340,Casco Historico,2.4
Calle,21,Avenida,56,Avenida,58,Calle 21 entre Avenida 56 y Avenida 58,350,Casco Historico,2.5
Calle,21,Avenida,58,Avenida,60,Calle 21 entre Avenida 58 y Avenida 60,360,Casco Historico,2.6
Calle,21,Avenida,60,Avenida,62,Calle 21 entre Avenida 60 y Avenida 62,370,Casco Historico,2.7
Calle,23,Avenida,46,Avenida,48,Calle 23 entre Avenida 46 y Avenida 48,300,Casco Historico,2
Calle,23,Avenida,48,Avenida,50,Calle 23 entre Avenida 48 y Avenida 50,300,Casco Historico,2
Calle,23,Avenida,50,Avenida,52,Calle 23 entre Avenida 50 y Avenida 52,310,Casco Historico,2.1
Calle,23,Avenida,52,Avenida,54,Calle 23 entre Avenida 52 y Avenida 54,320,Casco Historico,2.2
Calle,23,Avenida,54,Avenida,56,Calle 23 entre Avenida 54 y Avenida 56,330,Casco Historico,2.3
Calle,23,Avenida,56,Avenida,58,Calle 23 entre Avenida 56 y Avenida 58,340,Casco Historico,2.4
Calle,23,Avenida,58,Avenida,60,Calle 23 entre Avenida 58 y Avenida 60,350,Casco Historico,2.5
Calle,23,Avenida,60,Avenida,62,Calle 23 entre Avenida 60 y Avenida 62,360,Casco Historico,2.6
Calle,25,Avenida,46,Avenida,48,Calle 25 entre Avenida 46 y Avenida 48,280,Casco Historico,1.8
Calle,25,Avenida,48,Avenida,50,Calle 25 entre Avenida 48 y Avenida 50,280,Casco Historico,1.8
Calle,25,Avenida,50,Avenida,52,Calle 25 entre Avenida 50 y Avenida 52,290,Casco Historico,1.9
Calle,25,Avenida,52,Avenida,54,Calle 25 entre Avenida 52 y Avenida 54,300,Casco Historico,2
Calle,25,Avenida,54,Avenida,56,Calle 25 entre Avenida 54 y Avenida 56,310,Casco Historico,2.1
Calle,25,Avenida,56,Avenida,58,Calle 25 entre Avenida 56 y Avenida 58,320,Casco Historico,2.2
Calle,25,Avenida,58,Avenida,60,Calle 25 entre Avenida 58 y Avenida 60,330,Casco Historico,2.3
Calle,25,Avenida,60,Avenida,62,Calle 25 entre Avenida 60 y Avenida 62,340,Casco Historico,2.4
Calle,25A,Avenida,82A,Avenida,82B,Calle 25A entre Avenida 82A y Avenida 82B,530,Pastorita,4.3
Calle,27,Avenida,46,Avenida,48,Calle 27 entre Avenida 46 y Avenida 48,260,Casco Historico,1.6
Calle,27,Avenida,48,Avenida,50,Calle 27 entre Avenida 48 y Avenida 50,260,Casco Historico,1.6
Calle,27,Avenida,50,Avenida,52,Calle 27 entre Avenida 50 y Avenida 52,270,Casco Historico,1.7
Calle,27,Avenida,52,Avenida,54,Calle 27 entre Avenida 52 y Avenida 54,280,Casco Historico,1.8
Calle,27,Avenida,56,Avenida,58,Calle 27 entre Avenida 56 y Avenida 58,290,Casco Historico,1.9
Calle,27,Avenida,58,Avenida,60,Calle 27 entre Avenida 58 y Avenida 60,300,Casco Historico,2
Calle,27,Avenida,60,Avenida,62,Calle 27 entre Avenida 60 y Avenida 62,310,Casco Historico,2.1
Calle,27,Avenida,82A,Avenida,82B,Calle 27 entre Avenida 82A y Avenida 82B,530,Pastorita,4.3
Calle,27,Avenida,82B,Avenida,84,Calle 27 entre Avenida 82B y Avenida 84,540,Pastorita,4.4
Calle,29,Avenida,46,Avenida,48,Calle 29 entre Avenida 46 y Avenida 48,260,Casco Historico,1.6
Calle,29,Avenida,48,Avenida,50,Calle 29 entre Avenida 48 y Avenida 50,260,Casco Historico,1.6
Calle,29,Avenida,50,Avenida,52,Calle 29 entre Avenida 50 y Avenida 52,270,Casco Historico,1.7
Calle,29,Avenida,52,Avenida,54,Calle 29 entre Avenida 52 y Avenida 54,280,Casco Historico,1.8
Calle,29,Avenida,54,Avenida,56,Calle 29 entre Avenida 54 y Avenida 56,290,Casco Historico,1.9
Calle,29,Avenida,56,Avenida,58,Calle 29 entre Avenida 56 y Avenida 58,300,Casco Historico,2
Calle,29,Avenida,58,Avenida,60,Calle 29 entre Avenida 58 y Avenida 60,310,Casco Historico,2.1
Calle,29,Avenida,60,Avenida,62,Calle 29 entre Avenida 60 y Avenida 62,320,Casco Historico,2.2
