source_row,source_title,image_file,product_name,product_price,score,gap,status
123,182 Malta Guajira 1800,fila_123_Malta_Guajira_1800.jpeg,Malta Guajira,1800.0,1.2,0.629,READY
116,175 Pasta Tomate Ada 650,fila_116_Pasta_Tomate_Ada_650.jpeg,Pasta Tomate Ada,650.0,1.2,0.637,READY
71,13 Cascos Moto 9000,fila_071_Cascos_Moto_9000.jpeg,Cascos Moto,9000.0,1.2,0.333,READY
187,49 Lampara de Mesa - 25000.00,fila_187_Lampara_de_Mesa_-_2500000.jpeg,Lampara de Mesa - 25000,25000.0,1.153,0.2,READY
111,170 Mayoneza 1500,fila_111_Mayoneza_1500.jpeg,Mayoneza,1500.0,1.2,0.619,READY
26,0Maquina Hielo,fila_026_Maquina_Hielo.jpeg,Maquina de Afeitar,2500.0,0.581,0.042,NOT_IMPORTED_OR_REVIEW
114,173 Mostaza 750,fila_114_Mostaza_750.jpeg,Mostaza,750.0,1.2,0.63,READY
43,105 Toallitas Humedass 1000.00,fila_043_Toallitas_Humedass_100000.jpeg,Toallitas Humedas,1000.0,1.291,0.091,READY
109,167 Caffe Mate 4000,fila_109_Caffe_Mate_4000.jpeg,Caffe Mate,4000.0,1.2,0.3,READY
102,160 Cafe Pilon 6000,fila_102_Cafe_Pilon_6000.jpeg,Cafe Pilon,6000.0,1.2,0.364,READY
65,122 Macarrones en caja 850,fila_065_Macarrones_en_caja_850.jpeg,Macarrones en caja,850.0,1.2,0.166,READY
29,0Ventilador Piso 12 Pulgadas,fila_029_Ventilador_Piso_12_Pulgadas.jpeg,Ventilador 3 en,1.0,0.571,0.006,REVIEW
108,166 Cafe La Carreta 5000,fila_108_Cafe_La_Carreta_5000.jpeg,Cafe La Carreta,5000.0,1.2,0.467,READY
89,147 Avena 1800,fila_089_Avena_1800.jpeg,Avena,1800.0,1.2,0.455,READY
64,122 Macarrones 850,fila_064_Macarrones_850.jpeg,Macarrones,850.0,1.2,0.166,READY
49,111 Frijoles Blanco 1500,fila_049_Frijoles_Blanco_1500.jpeg,Frijoles Blanco,1500.0,1.2,0.5,READY
13,06 Audifonos-gris - 7500.00,fila_013_Audifonos-gris_-_750000.jpeg,Audifonos-gris,7500.0,1.2,0.097,READY
24,0Exhibidor Vertical,fila_024_Exhibidor_Vertical.jpeg,Ventiladores de Pie,18.0,0.432,0.008,NOT_IMPORTED_OR_REVIEW
36,10 Tipo Crocs-Zapitos Azul 8000.00,fila_036_Tipo_Crocs-Zapitos_Azul_800000.jpeg,Tipo Crocs-Zapitos Azul,8000.0,1.2,0.174,READY
72,13 Cascoss 9000,fila_072_Cascoss_9000.jpeg,Cascoss,9000.0,1.2,0.333,READY
105,163 Cafe Express 3000,fila_105_Cafe_Express_3000.jpeg,Cafe Express,3000.0,1.2,0.364,READY
78,137 Lentejas 850,fila_078_Lentejas_850.jpeg,Lentejas,850.0,1.2,0.474,READY
54,116 Harina 1800,fila_054_Harina_1800.jpeg,Harina,1800.0,1.2,0.455,READY
118,177 Vegetales Mixtos 1200,fila_118_Vegetales_Mixtos_1200.jpeg,Vegetales Mixtos,1200.0,1.2,0.61,READY
172,34 Exhibidor Vertical,fila_172_Exhibidor_Vertical.jpeg,Ventiladores de Pie,18.0,0.432,0.008,NOT_IMPORTED_OR_REVIEW
182,44 Lampara de Mesa - 34300.00,fila_182_Lampara_de_Mesa_-_3430000.jpeg,Lampara de Mesa - 34300,34300.0,1.153,0.2,READY
32,10 Crocs Original 12500.00,fila_032_Crocs_Original_1250000.jpeg,Crocs Original,12500.0,1.2,0.08,READY
52,114 Azucar Blanca 1200.00,fila_052_Azucar_Blanca_120000.jpeg,Azucar Blanca,1200.0,1.2,0.56,READY
9,04 Muneca Barbie - 5000.00,fila_009_Muneca_Barbie_-_500000.jpeg,Muneca Barbie,5000.0,1.2,0.571,READY
94,153 Leche entera 4800,fila_094_Leche_entera_4800.jpeg,Leche entera,4800.0,1.2,0.557,READY
106,164 Cafe Sello Rojo 5000,fila_106_Cafe_Sello_Rojo_5000.jpeg,Cafe Sello Rojo,5000.0,1.2,0.51,READY
76,135 Jamonilla de Pollo 1300,fila_076_Jamonilla_de_Pollo_1300.jpeg,Jamonilla de Pollo,1300.0,1.2,0.49,READY
162,24 Olla Frijolera 57 600,fila_162_Olla_Frijolera_57_600.jpeg,Olla Frijolera,57600.0,1.2,0.459,READY
22,0Aire Acondionado,fila_022_Aire_Acondionado.jpeg,Leche Condensada,850.0,0.562,0.021,NOT_IMPORTED_OR_REVIEW
112,171 Pasta Bocadito 1750.00,fila_112_Pasta_Bocadito_175000.jpeg,Pasta Bocadito,1750.0,1.2,0.6,READY
220,87 Rellenitas 250,fila_220_Rellenitas_250.jpeg,Rellenitas,250.0,1.2,0.533,READY
48,110 Arroz Blanco 900.00,fila_048_Arroz_Blanco_90000.jpeg,Arroz Blanco,900.0,1.2,0.533,READY
223,92 Gomita Fini 850,fila_223_Gomita_Fini_850.jpeg,Gomita Fini,850.0,1.2,0.727,READY
27,0Ventilador 3 en 1,fila_027_Ventilador_3_en_1.jpeg,Ventilador 3 en,1.0,1.2,0.435,READY
207,71 Crema Afeitar 2500,fila_207_Crema_Afeitar_2500.jpeg,Crema Afeitar,2500.0,1.2,0.355,READY
234,Shampoo Gudlox,fila_234_Shampoo_Gudlox.jpeg,Sazon Guama,100.0,0.48,0.036,NOT_IMPORTED_OR_REVIEW
226,95 Malvavisco 1500,fila_226_Malvavisco_1500.jpeg,Malvavisco,1500.0,1.2,0.5,READY
68,125 Vino Seco 650,fila_068_Vino_Seco_650.jpeg,Vino Seco,650.0,1.2,0.5,READY
175,38 Lampara de Techo - 31850.00,fila_175_Lampara_de_Techo_-_3185000.jpeg,Lampara de Techo,31850.0,1.2,0.551,READY
219,86 Cookies Marilan 500,fila_219_Cookies_Marilan_500.jpeg,Cookies Marilan,500.0,1.2,0.562,READY
28,0Ventilador Industrial,fila_028_Ventilador_Industrial.jpeg,Ventilador 3 en,1.0,0.667,0.067,NOT_IMPORTED_OR_REVIEW
179,42 Lampara de Piso -44100.00,fila_179_Lampara_de_Piso_-4410000.jpeg,Lampara de Piso - 44100,44100.0,1.153,0.2,READY
31,10 Chancletas 3 Cintas 5500,fila_031_Chancletas_3_Cintas_5500.jpeg,Chancletas 3 Cintas,5500.0,1.2,0.053,READY
177,40 Lampara de Piso -30800.00,fila_177_Lampara_de_Piso_-3080000.jpeg,Lampara de Piso - 30800,30800.0,1.153,0.2,READY
